date,sales,orders,units_sold,returns,website_visits,conversion_rate,avg_order_value,price,base_price,discount_pct,marketing_spend,promotion,is_holiday,holiday_name,day_of_week,day_of_week_num,month,day_of_month,week_of_year,is_weekend
2023-01-18,1479.15,26,37,3,1028,0.0257,62.28,42.16,42.18854839955716,0.0007157638833529989,83.67,0,0,,Wednesday,2,1,18,3,0
2023-01-19,1077.34,23,42,3,888,0.0264,51.92,39.93,41.455185554687276,0.036893475928076506,63.3,0,0,,Thursday,3,1,19,3,0
2023-01-20,1077.27,22,32,2,823,0.0265,52.55,39.44,41.15261777919883,0.04170722985003379,75.32,0,0,,Friday,4,1,20,3,0
2023-01-21,1085.62,24,44,2,898,0.0265,48.25,41.29,42.879389261352934,0.03702380659767596,89.75,0,0,,Saturday,5,1,21,3,1
2023-01-22,1332.56,26,44,2,901,0.0294,54.39,41.57,41.86453421970808,0.00714251436504193,82.72,0,0,,Sunday,6,1,22,3,1
2023-01-23,1161.62,20,30,2,926,0.0213,62.79,40.46,42.040516922812756,0.037671396112848456,72.51,0,0,,Monday,0,1,23,4,0
2023-01-24,984.55,19,23,2,882,0.0215,56.26,39.56,41.14515108827192,0.038446139105382054,74.66,0,0,,Tuesday,1,1,24,4,0
2023-01-25,1740.85,34,55,3,1311,0.0263,54.83,30.27,41.67337036528489,0.27362845087550103,114.82,1,0,,Wednesday,2,1,25,4,0
2023-01-26,1287.33,25,39,2,949,0.0265,54.78,40.46,42.06655355382592,0.038305796639779316,78.5,0,0,,Thursday,3,1,26,4,0
2023-01-27,819.16,17,30,1,784,0.0216,50.41,39.56,41.30940385354662,0.04229607198388661,62.09,0,0,,Friday,4,1,27,4,0
2023-01-28,1331.86,27,50,2,999,0.0268,52.23,40.93,42.2254188110074,0.030680205711872924,73.03,0,0,,Saturday,5,1,28,4,1
2023-01-29,1333.35,24,34,2,965,0.0252,59.26,41.46,41.63961678604872,0.004430235698483953,85.15,0,0,,Sunday,6,1,29,4,1
2023-01-30,1088.75,23,39,3,921,0.0245,52.47,40.81,41.824983750124034,0.024381390483360545,83.66,0,0,,Monday,0,1,30,5,0
2023-01-31,1307.46,23,39,3,1053,0.0223,63.01,41.48,41.63897603266236,0.003882466733580253,58.02,0,0,,Tuesday,1,1,31,5,0
2023-02-01,1129.64,21,37,2,1042,0.0203,57.93,42.27,43.15136691070536,0.020377151551621543,76.0,0,0,,Wednesday,2,2,1,5,0
2023-02-02,1265.7,23,38,2,970,0.0239,58.87,41.18,42.031901665157235,0.020355324456281382,75.79,0,0,,Thursday,3,2,2,5,0
2023-02-03,991.01,18,22,1,869,0.0202,57.45,41.27,41.405373442626455,0.0033004922070120793,91.11,0,0,,Friday,4,2,3,5,0
2023-02-04,1356.55,24,37,3,952,0.0253,62.37,41.79,42.53352694726191,0.017441026698473968,86.92,0,0,,Saturday,5,2,4,5,1
2023-02-05,2446.08,39,55,3,1246,0.0309,66.56,29.49,41.307493810017384,0.28618973910139556,145.18,1,0,,Sunday,6,2,5,5,1
2023-02-06,1228.16,21,32,1,1033,0.0203,60.65,40.46,42.16531815700285,0.04041176050046111,81.13,0,0,,Monday,0,2,6,6,0
2023-02-07,1683.33,22,38,2,917,0.0238,61.73,38.93,40.86419792567214,0.04738440129822354,62.96,0,0,,Tuesday,1,2,7,6,0
2023-02-08,1077.44,20,32,2,1031,0.0191,58.24,41.09,41.24308837066094,0.0036158237628969303,86.15,0,0,,Wednesday,2,2,8,6,0
2023-02-09,1262.39,22,39,2,1080,0.0203,61.58,40.14,42.158116741521475,0.04775576036458507,81.72,0,0,,Thursday,3,2,9,6,0
2023-02-10,1064.12,20,32,2,856,0.023,57.52,41.37,42.48307994799725,0.02612882996683726,84.07,0,0,,Friday,4,2,10,6,0
2023-02-11,902.23,25,33,2,964,0.0259,58.9,41.51,42.142820968713984,0.014978283897693696,121.41,0,0,,Saturday,5,2,11,6,1
2023-02-12,1637.9,30,33,2,955,0.0309,57.47,41.81,41.970611030567056,0.0038431037638081756,73.33,0,0,,Sunday,6,2,12,6,1
2023-02-13,1340.21,26,41,3,970,0.0268,56.43,40.81,41.85933778264643,0.025031213403520894,93.8,0,0,,Monday,0,2,13,7,0
2023-02-14,936.06,26,39,2,1050,0.0251,62.15,39.52,41.152886805779545,0.039725777224537434,142.49,0,1,Valentine's Day,Tuesday,1,2,14,7,0
2023-02-15,2451.82,42,61,5,1356,0.0309,64.1,37.05,41.60809347496318,0.1096424077721112,136.92,1,0,,Wednesday,2,2,15,7,0
2023-02-16,1495.78,25,31,2,1003,0.0245,63.65,41.66,41.76361673742413,0.0025113005731986883,79.64,0,0,,Thursday,3,2,16,7,0
2023-02-17,1161.43,20,28,2,907,0.0216,62.78,42.52,42.67427333573135,0.0036450917683951757,76.61,0,0,,Friday,4,2,17,7,0
2023-02-18,1110.26,23,35,2,956,0.024,51.64,41.4,42.24617097374107,0.020143664131631857,85.44,0,0,,Saturday,5,2,18,7,1
2023-02-19,1619.93,28,47,3,1039,0.0272,62.91,40.38,40.98217590678236,0.014764524702397164,92.64,0,0,,Sunday,6,2,19,7,1
2023-02-20,1263.31,25,40,3,1086,0.0226,55.53,41.74,42.234450381636876,0.011619216152802392,67.86,0,0,,Monday,0,2,20,8,0
2023-02-21,1354.99,25,46,3,1107,0.0222,59.56,41.22,41.80895063175021,0.014050224945435681,86.0,0,0,,Tuesday,1,2,21,8,0
2023-02-22,1291.88,26,35,2,1057,0.0242,52.73,39.96,41.633846799816425,0.040174137164844234,76.67,0,0,,Wednesday,2,2,22,8,0
2023-02-23,1120.28,21,36,2,988,0.0217,57.45,40.44,42.40700577330452,0.0464614026815927,70.96,0,0,,Thursday,3,2,23,8,0
2023-02-24,1034.29,20,31,3,966,0.0206,58.27,41.79,42.65859971349757,0.020255134726378323,76.4,0,0,,Friday,4,2,24,8,0
2023-02-25,2334.04,46,81,4,1324,0.0348,54.28,32.65,42.59876807146972,0.23351867711271693,126.71,1,0,,Saturday,5,2,25,8,1
2023-02-26,1541.14,28,41,3,1011,0.0279,59.85,40.87,41.536469486066416,0.016074785062394098,85.72,0,0,,Sunday,6,2,26,8,1
2023-02-27,1346.19,22,38,1,1080,0.0208,63.35,40.86,41.85447257448927,0.023821849317189583,82.87,0,0,,Monday,0,2,27,9,0
2023-02-28,1460.8,28,45,3,1146,0.0248,56.73,41.76,42.23875805884214,0.011301449890799987,74.15,0,0,,Tuesday,1,2,28,9,0
2023-03-01,1245.46,21,30,2,1073,0.0195,63.87,41.3,42.665327076273414,0.0320238021087922,86.06,0,0,,Wednesday,2,3,1,9,0
2023-03-02,1228.73,23,36,2,1053,0.0222,57.15,39.75,41.79249545729282,0.04894905575874045,85.48,0,0,,Thursday,3,3,2,9,0
2023-03-03,1194.85,20,30,1,895,0.0226,62.07,40.7,41.968604614001705,0.030174654802168934,94.79,0,0,,Friday,4,3,3,9,0
2023-03-04,1091.25,24,39,2,909,0.0259,48.5,40.68,41.41619901559638,0.017890704205677444,88.6,0,0,,Saturday,5,3,4,9,1
2023-03-05,3072.38,44,62,3,1363,0.0326,73.59,37.18,41.362276025551594,0.10115173209962432,124.19,1,0,,Sunday,6,3,5,9,1
2023-03-06,1755.34,29,45,3,1073,0.0266,65.62,42.31,42.56751549343652,0.006146033923269379,80.78,0,0,,Monday,0,3,6,10,0
2023-03-07,1357.36,25,41,2,1191,0.0214,57.76,40.99,42.893744017142495,0.04443295401326994,90.37,0,0,,Tuesday,1,3,7,10,0
2023-03-08,1533.24,32,50,2,1139,0.028,50.27,40.98,42.0367939270518,0.02515419753899182,74.25,0,0,,Wednesday,2,3,8,10,0
2023-03-09,1361.02,24,43,2,1019,0.0238,60.49,41.72,42.68211973873521,0.022467487101982105,85.96,0,0,,Thursday,3,3,9,10,0
2023-03-10,1133.05,23,39,2,976,0.0233,52.7,41.06,42.29698161502858,0.029293239422675962,78.44,0,0,,Friday,4,3,10,10,0
2023-03-11,1559.07,27,42,2,966,0.0282,61.14,40.39,41.69292814723693,0.031239193139470125,89.49,0,0,,Saturday,5,3,11,10,1
2023-03-12,2176.82,38,60,3,1190,0.0319,60.89,42.15,42.296837363305045,0.0035887903113256516,90.73,0,0,,Sunday,6,3,12,10,1
2023-03-13,1161.53,22,35,1,1042,0.021,54.66,41.54,43.00282193987958,0.03413086106117012,82.02,0,0,,Monday,0,3,13,11,0
2023-03-14,1386.56,24,39,3,1177,0.0207,63.75,41.55,42.058504376534025,0.01209658401577648,79.07,0,0,,Tuesday,1,3,14,11,0
2023-03-15,2479.12,39,51,2,1405,0.0281,66.11,38.09,43.0187861934884,0.11463918475368873,117.51,1,0,,Wednesday,2,3,15,11,0
2023-03-16,1597.32,27,40,2,1147,0.0235,62.64,38.84,40.50815293754615,0.04112673971920984,92.62,0,0,,Thursday,3,3,16,11,0
2023-03-17,1073.74,20,26,2,997,0.0197,58.04,40.86,42.573141502625134,0.040197925377626016,87.88,0,0,,Friday,4,3,17,11,0
2023-03-18,1323.04,28,50,3,1044,0.0271,51.38,40.97,42.1322282409429,0.027625048370394457,96.95,0,0,,Saturday,5,3,18,11,1
2023-03-19,2089.46,36,55,3,1176,0.0305,61.91,40.81,41.90059558972048,0.02600849461553756,86.36,0,0,,Sunday,6,3,19,11,1
2023-03-20,1373.96,26,39,2,1137,0.0232,56.08,41.83,42.1350564659213,0.007143798066970586,72.89,0,0,,Monday,0,3,20,12,0
2023-03-21,1322.1,29,50,4,1261,0.0228,50.85,39.3,40.88745865123946,0.03876730752015678,87.64,0,0,,Tuesday,1,3,21,12,0
2023-03-22,1481.44,25,41,2,1156,0.0218,63.04,41.38,41.94819686729749,0.013570469022335718,87.01,0,0,,Wednesday,2,3,22,12,0
2023-03-23,1624.6,26,35,2,1053,0.0248,66.31,41.24,42.29426754290704,0.024834771140897327,91.78,0,0,,Thursday,3,3,23,12,0
2023-03-24,1203.18,22,34,1,1025,0.0212,56.62,42.36,42.96673642684491,0.014213704646375835,75.17,0,0,,Friday,4,3,24,12,0
2023-03-25,3314.44,50,78,4,1322,0.0379,70.52,34.74,41.76903786903581,0.16824956552523126,118.47,1,0,,Saturday,5,3,25,12,1
2023-03-26,1932.86,36,44,3,1173,0.0311,57.27,40.29,41.59490383826409,0.03147788484458683,76.88,0,0,,Sunday,6,3,26,12,1
2023-03-27,1408.88,27,38,2,1163,0.0235,55.25,41.67,41.77894577384927,0.0027166017411451916,76.86,0,0,,Monday,0,3,27,13,0
2023-03-28,1492.43,29,44,2,1270,0.0231,54.27,41.03,42.62924127062124,0.03743226170631,87.97,0,0,,Tuesday,1,3,28,13,0
2023-03-29,1713.49,28,43,2,1128,0.025,64.66,41.61,42.27725066579581,0.015879339763055833,76.27,0,0,,Wednesday,2,3,29,13,0
2023-03-30,1606.5,32,41,3,1264,0.0251,54.0,41.76,41.762143877739774,6.734650224266004e-06,85.12,0,0,,Thursday,3,3,30,13,0
2023-03-31,1205.94,22,39,3,1037,0.0214,61.06,41.3,42.38796045986801,0.02555645696186149,78.48,0,0,,Friday,4,3,31,13,0
2023-04-01,1581.18,30,46,2,1157,0.0258,55.48,42.08,42.17824652960882,0.0023425954263801563,92.59,0,0,,Saturday,5,4,1,13,1
2023-04-02,1432.59,27,42,2,1116,0.0242,56.18,42.11,42.701186994319734,0.013808477891044973,80.82,0,0,,Sunday,6,4,2,13,1
2023-04-03,1688.46,29,47,3,1217,0.024,63.12,40.22,41.69876814367358,0.03534882437278581,80.68,0,0,,Monday,0,4,3,14,0
2023-04-04,1467.75,28,39,3,1156,0.0243,57.0,41.79,41.92340271204134,0.0031344810810932933,56.07,0,0,,Tuesday,1,4,4,14,0
2023-04-05,2488.6,43,74,3,1593,0.0273,61.07,36.06,41.8847351081207,0.13915559713670922,117.7,1,0,,Wednesday,2,4,5,14,0
2023-04-06,1507.29,25,37,2,1125,0.0221,64.14,41.23,41.24189103112073,0.00019099613292915542,66.96,0,0,,Thursday,3,4,6,14,0
2023-04-07,1359.76,22,31,2,1088,0.0203,66.33,41.78,42.29767216623874,0.012341193460095113,89.65,0,0,,Friday,4,4,7,14,0
2023-04-08,1723.0,30,50,3,1186,0.0253,62.09,40.71,42.27663316330793,0.037045202807603574,96.22,0,0,,Saturday,5,4,8,14,1
2023-04-09,1757.81,32,58,1,1137,0.0281,56.25,41.46,42.12306807398547,0.01581350748646534,93.73,0,0,,Sunday,6,4,9,14,1
2023-04-10,1349.95,26,44,3,1201,0.0215,56.84,41.77,41.97924771997491,0.005094619403300677,92.17,0,0,,Monday,0,4,10,15,0
2023-04-11,1603.8,30,51,4,1314,0.0226,59.4,40.53,41.27077755476975,0.018011695940021395,72.41,0,0,,Tuesday,1,4,11,15,0
2023-04-12,1553.76,28,41,3,1431,0.0198,60.34,41.3,41.86761280634078,0.013519664319226278,93.98,0,0,,Wednesday,2,4,12,15,0
2023-04-13,1437.89,28,35,2,1194,0.0236,54.26,40.15,41.914371290083935,0.04213559510802775,87.46,0,0,,Thursday,3,4,13,15,0
2023-04-14,1512.63,26,47,2,1124,0.023,61.74,40.99,41.63863363846703,0.015667395879257157,78.11,0,0,,Friday,4,4,14,15,0
2023-04-15,2630.46,48,96,8,1447,0.0329,62.63,33.74,42.023228573000395,0.19717435183726512,136.92,1,0,,Saturday,5,4,15,15,1
2023-04-16,1621.53,36,66,5,1331,0.0268,50.28,40.47,42.36243051408872,0.04459360724053674,81.15,0,0,,Sunday,6,4,16,15,1
2023-04-17,1272.29,26,39,3,1131,0.0232,53.57,42.31,43.25171154072632,0.02169087097882648,73.4,0,0,,Monday,0,4,17,16,0
2023-04-18,1477.67,29,39,3,1321,0.0216,55.24,40.3,42.2247466876991,0.0454971571927196,75.13,0,0,,Tuesday,1,4,18,16,0
2023-04-19,1281.82,24,33,2,1203,0.0201,56.97,41.48,42.274530234433655,0.018865902698159645,75.77,0,0,,Wednesday,2,4,19,16,0
2023-04-20,1738.66,28,35,2,1048,0.0269,65.61,40.05,42.075332450540294,0.04820392082450541,71.55,0,0,,Thursday,3,4,20,16,0
2023-04-21,1363.7,25,38,2,1145,0.0219,58.03,40.79,40.968737270820576,0.004464476226278646,89.78,0,0,,Friday,4,4,21,16,0
2023-04-22,1539.32,32,59,4,1181,0.027,53.08,40.66,42.10409167473047,0.03435096332516214,87.93,0,0,,Saturday,5,4,22,16,1
2023-04-23,1864.05,36,55,5,1237,0.0291,57.8,41.12,42.15613812596462,0.024690702022846435,92.82,0,0,,Sunday,6,4,23,16,1
2023-04-24,1836.06,37,59,5,1255,0.0298,55.22,42.75,43.59794526749117,0.019382440272782353,75.44,0,0,,Monday,0,4,24,17,0
2023-04-25,3053.68,52,98,4,1883,0.0278,62.32,34.33,42.00458342113132,0.1827098203050703,131.51,1,0,,Tuesday,1,4,25,17,0
2023-04-26,1772.21,32,47,3,1318,0.024,59.57,40.81,42.300928405400164,0.03519285458171656,82.16,0,0,,Wednesday,2,4,26,17,0
2023-04-27,1501.2,27,52,4,1239,0.0215,62.55,42.09,42.09917293817685,0.00021816348251545438,64.7,0,0,,Thursday,3,4,27,17,0
2023-04-28,1243.88,24,46,3,1090,0.022,57.19,41.07,41.41879317742828,0.008347654437359936,79.45,0,0,,Friday,4,4,28,17,0
2023-04-29,1914.26,31,47,2,1195,0.0256,64.89,41.28,42.80569368870901,0.03565230253171594,79.05,0,0,,Saturday,5,4,29,17,1
2023-04-30,1746.98,32,46,5,1281,0.0248,61.84,41.15,42.57115981961206,0.03331927067891032,105.9,0,0,,Sunday,6,4,30,17,1
2023-05-01,1507.55,29,49,2,1276,0.0231,54.82,40.58,42.634619168225825,0.04830237525643386,87.29,0,0,,Monday,0,5,1,18,0
2023-05-02,1943.41,30,45,2,1479,0.0203,68.19,40.03,41.61436752712315,0.038051889512539155,80.85,0,0,,Tuesday,1,5,2,18,0
2023-05-03,2023.65,36,48,3,1438,0.025,59.96,40.96,43.00167658656166,0.047538635386566906,90.11,0,0,,Wednesday,2,5,3,18,0
2023-05-04,1387.49,29,52,5,1249,0.0234,54.95,39.87,41.318889362324626,0.03512702507674035,73.23,0,0,,Thursday,3,5,4,18,0
2023-05-05,2813.2,43,80,4,1349,0.0319,70.33,30.07,42.51211425628016,0.2925853750475159,152.71,1,0,,Friday,4,5,5,18,0
2023-05-06,1966.21,31,49,3,1194,0.0258,68.39,43.25,43.474273375485986,0.005268246112542824,91.6,0,0,,Saturday,5,5,6,18,1
2023-05-07,2123.64,39,52,4,1454,0.0265,58.99,39.94,41.56567820492158,0.03909119316724678,92.11,0,0,,Sunday,6,5,7,18,1
2023-05-08,1679.44,31,41,2,1310,0.0238,56.93,40.47,41.820221362238335,0.032207461073795796,90.18,0,0,,Monday,0,5,8,19,0
2023-05-09,2350.92,30,47,3,1463,0.0206,58.42,42.12,42.219790819052584,0.0024093006196648117,85.86,0,0,,Tuesday,1,5,9,19,0
2023-05-10,1917.57,33,48,3,1460,0.0224,62.36,41.1,41.857914607530276,0.01800252329504892,82.31,0,0,,Wednesday,2,5,10,19,0
2023-05-11,1603.55,27,40,3,1261,0.0217,64.79,39.26,41.229601941360315,0.04783999077421431,66.76,0,0,,Thursday,3,5,11,19,0
2023-05-12,1275.29,23,40,3,1099,0.0213,61.46,41.15,42.20113778488361,0.025020057285510062,72.32,0,0,,Friday,4,5,12,19,0
2023-05-13,1345.89,25,42,3,1081,0.0229,59.16,40.62,41.52261777176433,0.021636456800985235,89.02,0,0,,Saturday,5,5,13,19,1
2023-05-14,2364.59,40,72,5,1347,0.0297,65.23,41.47,42.444155458381104,0.0228849802579647,90.75,0,0,,Sunday,6,5,14,19,1
2023-05-15,2616.12,46,67,4,1593,0.0287,60.84,35.55,41.60834545945971,0.1456159543897865,114.25,1,0,,Monday,0,5,15,20,0
2023-05-16,2114.1,36,54,3,1446,0.0252,62.64,42.3,43.08996064301052,0.01843535854323976,99.29,0,0,,Tuesday,1,5,16,20,0
2023-05-17,1749.95,34,57,4,1331,0.0252,56.45,40.92,41.690048024598255,0.01849066279935883,92.13,0,0,,Wednesday,2,5,17,20,0
2023-05-18,1411.94,26,42,3,1276,0.0204,59.45,41.86,41.966763090276594,0.00261775100937362,84.82,0,0,,Thursday,3,5,18,20,0
2023-05-19,1291.74,25,46,3,1178,0.0209,56.78,41.01,42.6481103304218,0.03837838142589592,80.58,0,0,,Friday,4,5,19,20,0
2023-05-20,2118.04,41,67,5,1255,0.0323,56.86,40.56,41.42148141013962,0.02082522159519395,88.3,0,0,,Saturday,5,5,20,20,1
2023-05-21,1851.21,38,72,6,1240,0.0307,55.26,40.56,42.29647596076247,0.041108994340821166,82.38,0,0,,Sunday,6,5,21,20,1
2023-05-22,1918.76,32,53,2,1411,0.023,62.91,41.12,42.944285652569455,0.042517400055994775,80.62,0,0,,Monday,0,5,22,21,0
2023-05-23,1645.43,33,57,3,1387,0.0236,53.51,40.76,41.19551005926326,0.010599702734932904,82.06,0,0,,Tuesday,1,5,23,21,0
2023-05-24,1417.22,28,42,2,1285,0.0218,53.48,40.88,42.27078031511938,0.03286767410850643,70.07,0,0,,Wednesday,2,5,24,21,0
2023-05-25,3396.8,52,85,5,1640,0.0317,70.4,31.12,42.315929676549054,0.2645228637027357,138.11,1,0,,Thursday,3,5,25,21,0
2023-05-26,1457.3,26,45,3,1187,0.0217,61.36,40.75,42.62909372306638,0.04400783689607426,78.76,0,0,,Friday,4,5,26,21,0
2023-05-27,1159.5,28,52,4,1238,0.023,46.38,40.97,41.41782957347315,0.010787033958822707,74.74,0,0,,Saturday,5,5,27,21,1
2023-05-28,1738.31,34,57,3,1402,0.0246,54.75,39.97,41.36772603214943,0.033890660015502214,83.12,0,0,,Sunday,6,5,28,21,1
2023-05-29,2057.14,38,58,2,1417,0.0266,56.36,41.18,42.473164939370136,0.03038760611263613,130.71,0,1,Memorial Day,Monday,0,5,29,22,0
2023-05-30,1523.9,30,54,2,1449,0.0207,53.47,41.71,42.33819080393991,0.01476507387859164,95.1,0,0,,Tuesday,1,5,30,22,0
2023-05-31,1261.55,31,36,3,1353,0.0228,43.88,42.02,42.31029571020752,0.006830045182558631,84.45,0,0,,Wednesday,2,5,31,22,0
2023-06-01,1570.42,28,36,1,1339,0.0209,57.63,41.03,42.40786892569819,0.03258198802386383,69.32,0,0,,Thursday,3,6,1,22,0
2023-06-02,1267.06,26,43,3,1213,0.0217,53.35,40.25,41.79198516705291,0.036929872906616534,83.89,0,0,,Friday,4,6,2,22,0
2023-06-03,1887.04,35,54,4,1217,0.0287,58.97,41.67,42.339352218296604,0.0157813671881675,77.62,0,0,,Saturday,5,6,3,22,1
2023-06-04,1598.98,34,56,4,1240,0.0276,51.58,41.01,42.37584348397921,0.032241630201115694,98.66,0,0,,Sunday,6,6,4,22,1
2023-06-05,3186.35,54,89,5,1821,0.0298,63.41,36.79,41.77138914918418,0.11914291110403236,145.54,1,0,,Monday,0,6,5,23,0
2023-06-06,1861.28,34,56,2,1366,0.0247,57.27,41.77,43.31946470668686,0.035660344164130886,79.25,0,0,,Tuesday,1,6,6,23,0
2023-06-07,2093.91,34,48,3,1403,0.0239,65.95,42.06,42.484299752547074,0.009960763744702656,90.61,0,0,,Wednesday,2,6,7,23,0
2023-06-08,2048.12,35,58,5,1319,0.0262,65.54,39.64,41.48521790167841,0.04451075013180872,69.7,0,0,,Thursday,3,6,8,23,0
2023-06-09,1363.29,24,41,3,1112,0.022,62.68,41.98,42.5939321651803,0.014370479823278987,68.82,0,0,,Friday,4,6,9,23,0
2023-06-10,1655.14,31,55,3,1172,0.0263,57.57,40.85,41.61519099786361,0.018389299387807645,85.33,0,0,,Saturday,5,6,10,23,1
2023-06-11,1882.28,30,57,3,1233,0.0242,67.83,42.55,42.672250762245476,0.0029045976040174893,98.31,0,0,,Sunday,6,6,11,23,1
2023-06-12,1474.02,30,48,2,1389,0.0219,51.72,42.66,42.89515734740444,0.00557561061606382,67.85,0,0,,Monday,0,6,12,24,0
2023-06-13,1708.57,35,56,3,1379,0.0251,52.17,40.63,41.70759060898898,0.02579309513561641,57.34,0,0,,Tuesday,1,6,13,24,0
2023-06-14,2199.06,41,52,4,1597,0.0255,57.87,42.21,42.778025677546594,0.013379633836398576,76.39,0,0,,Wednesday,2,6,14,24,0
2023-06-15,3588.96,52,80,3,1628,0.0317,72.14,37.04,42.4476685561619,0.12728795051134661,146.16,1,0,,Thursday,3,6,15,24,0
2023-06-16,1165.22,22,33,2,1166,0.0192,56.84,42.66,42.693236095996696,0.0007346694327476921,89.6,0,0,,Friday,4,6,16,24,0
2023-06-17,1913.29,36,63,3,1233,0.029,56.69,42.52,43.338075789592374,0.01895470243359681,86.29,0,0,,Saturday,5,6,17,24,1
2023-06-18,1549.71,32,46,2,1360,0.0234,50.81,41.34,42.05276713039828,0.016867277338454636,86.71,0,0,,Sunday,6,6,18,24,1
2023-06-19,1902.16,34,58,4,1356,0.0248,61.36,41.71,41.74775830138551,0.0009663815458800518,89.23,0,0,,Monday,0,6,19,25,0
2023-06-20,1837.5,33,51,4,1464,0.0223,61.25,41.41,41.66629134222469,0.006218419950025512,65.04,0,0,,Tuesday,1,6,20,25,0
2023-06-21,1857.61,33,50,3,1367,0.0245,60.41,40.85,41.71051382902074,0.020682133745931766,76.89,0,0,,Wednesday,2,6,21,25,0
2023-06-22,1309.02,25,40,1,1241,0.0204,53.98,41.11,42.15373897435154,0.02464322922237233,81.52,0,0,,Thursday,3,6,22,25,0
2023-06-23,1380.97,28,41,3,1106,0.0253,53.63,41.55,42.40469118488999,0.020214487362743457,83.59,0,0,,Friday,4,6,23,25,0
2023-06-24,1263.24,27,40,3,1134,0.0241,51.04,41.24,42.366014479598014,0.026546883920604693,85.92,0,0,,Saturday,5,6,24,25,1
2023-06-25,3251.02,56,74,4,1695,0.0331,61.34,33.49,42.69630994942162,0.2156773834012818,157.64,1,0,,Sunday,6,6,25,25,1
2023-06-26,1384.62,28,42,2,1320,0.0209,52.25,42.19,42.20780113512675,0.0004961910563917815,60.09,0,0,,Monday,0,6,26,26,0
2023-06-27,1287.0,27,40,3,1406,0.0194,52.0,42.07,43.07212044629439,0.023204757972675197,74.73,0,0,,Tuesday,1,6,27,26,0
2023-06-28,1835.13,36,52,4,1511,0.0235,55.61,40.02,42.04120590005723,0.04817496204437942,83.63,0,0,,Wednesday,2,6,28,26,0
2023-06-29,1930.36,37,60,3,1383,0.0264,55.55,42.69,43.83210149995377,0.025951614006477438,72.14,0,0,,Thursday,3,6,29,26,0
2023-06-30,1806.35,34,57,2,1188,0.0284,55.58,41.13,42.57540040865901,0.03387711337294766,80.47,0,0,,Friday,4,6,30,26,0
2023-07-01,1750.15,32,51,4,1171,0.0273,60.35,41.08,41.72570546615023,0.015593192895844162,93.57,0,0,,Saturday,5,7,1,26,1
2023-07-02,2074.11,39,67,5,1312,0.0295,58.84,39.99,41.59746450116334,0.03869956890763813,87.26,0,0,,Sunday,6,7,2,26,1
2023-07-03,1650.54,31,51,3,1334,0.0236,57.41,40.89,42.529483449145914,0.03864607409380576,81.36,0,0,,Monday,0,7,3,27,0
